anio_tri,provincia,ingresos (en miles de pesos)
20192,Neuquén,3548271.6875711815
20193,Neuquén,3766111.0387128848
20194,Neuquén,3890525.1539076874
20201,Neuquén,5022648.663490484
20202,Neuquén,5562762.668934989
20203,Neuquén,5660833.703877388
20204,Neuquén,6093757.374308934
20211,Neuquén,6647738.71995618
20212,Neuquén,7169594.943196049
20213,Neuquén,8128569.364291134
20214,Neuquén,9037740.972086754
20221,Neuquén,11180882.229357528
20222,Neuquén,13092549.327887282
20223,Neuquén,14614444.146552196
20224,Neuquén,11394301.369250765
20231,Neuquén,13354094.934927694
20232,Neuquén,14987012.247363128
20141,Río Negro,421866.91872378066
20142,Río Negro,466731.9920251243
20143,Río Negro,505914.2942498227
20144,Río Negro,565577.0442234684
20151,Río Negro,695840.0854500638
20152,Río Negro,680546.8453516935
20153,Río Negro,752614.4134111262
20154,Río Negro,786049.3767949338
20161,Río Negro,856694.6550276696
20162,Río Negro,951127.4409617692
20163,Río Negro,1009442.5583190053
20164,Río Negro,1092905.7947405952
20171,Río Negro,1260799.168967994
20172,Río Negro,1402125.8713752194
20173,Río Negro,1537458.386732865
20174,Río Negro,1745045.5778895465
20181,Río Negro,2065681.430603604
20182,Río Negro,2260598.9846611586
20183,Río Negro,2451835.113949061
20184,Río Negro,2716134.0509254355
20191,Río Negro,3407674.649505326
20192,Río Negro,3989053.867036282
20193,Río Negro,4322798.549765162
20194,Río Negro,4238596.627982276
20201,Río Negro,5196092.80981287
20202,Río Negro,5696555.103117404
20203,Río Negro,5746411.041390599
20204,Río Negro,6449931.102517876
20211,Río Negro,7028889.871576051
20212,Río Negro,7456088.266136955
20213,Río Negro,8388322.594866396
20214,Río Negro,9402206.206086308
20221,Río Negro,11731576.964715267
20222,Río Negro,12886949.25300151
20223,Río Negro,14349741.851450391
20224,Río Negro,11656350.081774252
20231,Río Negro,12817857.67042757
20232,Río Negro,14308978.37738554
20141,Salta,339314.72889786336
20142,Salta,374643.6210130784
20143,Salta,402720.35916731926
20144,Salta,462192.78752551676
20151,Salta,579799.8774765168
20152,Salta,567423.5499163306
20153,Salta,636667.4822220124
20154,Salta,672969.9028764239
20161,Salta,736701.5794647365
20162,Salta,830507.6651232095
20163,Salta,902677.9635604144
20164,Salta,969307.7295476208
20171,Salta,1123167.2154644525
20172,Salta,1255473.2470716035
20173,Salta,1588877.1033821444
20174,Salta,1770219.6622260795
